Name,Units,Calories,Calories From Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbs,Dietary Fiber,Total Sugars,Added Sugars,Protein,Potassium,Comments
0% milk,1 cup,80,0,0,0,0,5,105,13,0,13,0,8,390,
1% milk,1 cup,100,0,2.5,1.5,0,10,110,13,0,13,0,8,505,
12 grain bread,2 oz,150,0,3.5,0,0,0,230,25,3,3,2,5,110,
5 grain bread,1 slice,80,0,2,0,0,0,80,26,4,6,0,7,0,1 thin slice
5 grain bread - whole wheat,2 oz (2 slices),160,0,3.5,0.5,0,0,150,27,4,5,5,7,160,
almonds - sliced,1/4 cup,170,140,15,1,0,0,0,6,4,1,0,6,220,
almonds - slivered,1/4 cup,180,140,16,1,0,0,5,6,3,1,0,6,200,
american cheese slices - publix,1 slice,80,0,7,4,0,20,350,1,0,0,0,4,0,
angel food cake,1 slice,140,0,0,0,0,0,210,33,0,25,25,3,40,
angel hair pasta,1 cup (2 oz),200,0,1,0,0,0,0,42,2,2,0,7,94,
angry orchard hard cider,1 bottle,180,0,0,0,0,0,20,22,0,18,16,0,210,
apple,1 medium,95,0,0.3,0.1,0,0,2,25,4.4,19,0,0.5,195,
baby bella mushrooms,8 oz,45,0,0,0,0,0,12,6.9,2.1,4.2,0,6.6,0,
bacon,1 slice,37,25,2.8,1,0,8,137,0,0,0,0,2.7,40,
bacon bits,1 Tbsp,30,0,2.5,1,0,5,100,0,0,0,0,2,36,
bacon bits - hormel real,1 tbsp,25,15,1.5,1,0,10,210,0,0,0,0,3,36,
bacon bits - hormel real crumbled,1 tsbp,25,15,1.5,1,0,10,210,0,0,0,0,3,36,
baked potato,1 large,278,3.3,0.4,0.1,0,0,30,63,6.6,3.5,0,7.5,1600,
balsamic vinegar,1 Tbsp,14,0,0,0,0,0,4,3,0,2,0,0,0,
banana,1 medium,105,3.3,0.4,0.1,0,0,1.2,27,3.1,14.4,0,1.3,422,
basil,1 tsp,3.1,0.4,0,0,0,0,0.4,0.8,0.5,0,0,0.2,42.9,
black pepper,1 tsp,8,1,0.2,0,0,0,1,1.4,0.3,0,0,0.3,24.8,
blackened redfish seasoning,1/4 tsp,0,0,0,0,0,0,105,0,0,0,0,0,0,
blue cheese crumbles,1/4 cup,110,100,8,6,0,20,300,1,0,0,0,6,0,
blueberries,1 cup,80,0,0,0,0,0,0,20,3,14,0,1,108,
bourbon salmon - publix,1 piece,290,130,15,2.5,0,0,490,8,0,7,0,28,0,
bow tie macaroni,1 cup (2 oz),200,0,1,0,0,0,0,42,2,2,0,7,94,
bread crumbs,1/4 cup,100,0,1,0,0,0,55,20,0,0,0,3,0,panko
breakfast sausage beyond meat,1 patty,90,0,6,2.25,0,0,135,3,1,0,0,5.5,115,
breakstone sour cream,16 oz tub,900,0,75,52.5,0,300,150,15,0,15,0,15,0,
breakstone sour cream,2 tbsp,60,0,5,3.5,0,20,10,1,0,1,0,1,0,
broccoli,1 cup,31,2.8,0.3,0,0,0,30,6,2.4,1.5,0,2.6,288,
brown rice,1 cup,190,0,3,0,0,0,15,39,3,0,0,5,100,uncle ben's ready rice
brussel sprouts - steam bag,5 sprouts,45,0,0,0,0,0,15,8,3,2,0,3,310,
buffalo sauce - franks,1 Tbsp,5,0,0,0,0,0,460,1,0,0,0,0,0,frank's
bush's baked beans,1/2 cup,150,0,1,0,0,0,570,30,5,12,11,7,370,
butter,1 Tbsp,100,0,11,7,0,30,90,0,0,0,0,0,0,great value salted butter
butter - it's not butter - light,1 tbsp,35,0,4,1,0,0,85,0,0,0,0,0,0,
butterball turkey,4 oz,150,60,7,2,0,65,410,1,0,0,0,20,0,
buttermilk ranch salad dressing,2 Tbsp,170,0,19,3,0,5,250,1,0,1,1,0,0,
buttery mashed potatoes,1/2 cup,110,0,3,2,0,0,460,20,1,1,1,2,260,
caesar dressing - litehouse,2 tbsp,140,140,15,1.5,0,15,140,1,0,0,0,1,15,
caesar salad - home made,1 bowl,451,241,27,7,0,105,803,16,2,1.7,0.5,38,680,
cajun peanuts,1 oz,160,110,12,2,0,0,210,7,3,1,0,7,0,
candy - chocolate caramel,2 pieces,150,60,7,4.5,0,5,45,22,0,17,17,1,80,
candy - chocolate caramel & nuts,2 pieces,160,60,9,4.5,0,5,45,19,1,14,14,2,104,
carrabba's bread & dipping oil,1 loaf,300,0,14,2,0,0,475,39,1,0,0,6,0,
carrabba's chicken piccatta,1 serving,300,150,17,10,0,100,710,9,0,3,0,28,200,
carrabba's lasagne,1 serving,780,420,47,25,0,140,2520,47,6,21,0,46,200,
carrabba's side caesar salad,1 bowl,350,280,31,7,0,25,600,9,2,2,0,8,0,
carrots - baby,3 oz 13 carrots,30,0,0,0,0,0,65,7,3,4,0,0,200,
carrots - whole,1 carrot,30,0,0,0,0,0,60,7,2,5,0,1,250,
catfish,3 oz,80,21,2.4,0.6,0,49,36,0,0,0,0,14,304,
catfish fried,4 oz,259,0,15.1,3.7,0,92,316,9.1,0.8,0,0,20.4,384,
catfish publix deli,6 oz,350,0,21,3.5,0,160,380,6,1,0,0,34,384,
cauliflower,1 cup,27,0,0.3,0.1,0,0,32,5,2.1,2,0,2.1,320,
celery,1 stalk,6,1,0,0,0,0,32,1,1,1,0,0,104,
cheerios,1 cup,93,0,1.67,0.33,0,0,127,19.33,2.67,1.33,1.33,3.33,167,
cheerios breakfast,1 bowl,133,0,2,0,0,3,180,26,2.7,7.8,1.3,7,362,
cheerios breakfast w/banana,1 bowl,186,2,2,0,0,3,180,39,4.2,15,1.3,8,573,
chicken breast skinless boneless,4 oz,130,25,3,1,0,60,45,0,0,0,0,25,289,boneless skinless
chicken leg,1 each,188,110,12.2,3.4,0.1,83.8,79.8,0,0,0,0,18.3,200,
chicken salad,1/2 cup,230,25,13,2,0,70,255,2,0,0,0,25,289,
chicken salad dave,1 cup,377,54,16,2.8,0,153,335,2,0,0,0,52,430,
chicken salad sandwich,1/2 sandwich,321,25,14,2,0,70,588,21,1.2,0.6,0,28,344,1/2 cup chicken salad + rye bread + dill pickle slice
chicken salad wrap,1 wrap,280,25,15,2,0,70,673,18,11,0,0,30,308,1/2 cup chicken salad + spinach wrap + dill pickle slice
chicken tenderloins,4 oz,110,10,1,0,0,70,75,0,0,0,0,24,410,
chicken thighs,4 oz,140,0,4.5,1,0,105,105,0,0,0,0,22,270,boneless skinless
chicken wing,1 each,109,0,7.8,2.2,0,38,36,0,0,0,0,9,76,
